ID,Parameter_ID,Name,Description
GB175-n,GB175,0,n
GB175-,GB175,?,
GB232-,GB232,?,
SD401-y,SD401,0,y
SD401-,SD401,?,
SD401-n,SD401,1,n
GB238-,GB238,?,
GB075-n,GB075,2,n
GB075-y,GB075,3,y
SD321-y,SD321,0,y
SD321-,SD321,?,
SD321-n,SD321,1,n
GB114-n,GB114,2,n
GB114-y,GB114,3,y
SD224-3,SD224,3,3
GB320-,GB320,?,
GB242-,GB242,?,
R5204-n,R5204,0,n
R5204-y,R5204,1,y
GB502-2,GB502,2,2
GB502-,GB502,?,
GB214-,GB214,?,
GB181-n,GB181,0,n
GB181-y,GB181,2,y
GB181-,GB181,?,
GB084-n,GB084,2,n
GB503-y,GB503,0,y
GB503-,GB503,?,
GB503-n,GB503,1,n
GB089-n,GB089,2,n
GB089-y,GB089,3,y
R5208-n,R5208,0,n
R5208-y,R5208,1,y
GB096-y,GB096,2,y
GB096-,GB096,?,
GB096-n,GB096,3,n
R4311-n,R4311,0,n
R1112-n,R1112,0,n
R1112-y,R1112,1,y
R2507-n,R2507,0,n
R2507-,R2507,?,
GB517-y,GB517,0,y
GB517-n,GB517,1,n
GB210-,GB210,?,
GB221-n,GB221,0,n
GB221-,GB221,?,
GB221-y,GB221,1,y
GB115-y,GB115,2,y
GB115-n,GB115,3,n
GB512-y,GB512,0,y
GB512-,GB512,?,
GB512-n,GB512,1,n
GB152-y,GB152,2,y
GB152-n,GB152,3,n
GB268-n,GB268,0,n
GB268-y,GB268,1,y
GB134-y,GB134,2,y
GB134-,GB134,?,
GB169-n,GB169,0,n
SD319-,SD319,?,
GB182-n,GB182,0,n
GB182-,GB182,?,
GB315-,GB315,?,
GB103-n,GB103,2,n
GB103-y,GB103,3,y
GB237-,GB237,?,
GB023-y,GB023,2,y
GB023-,GB023,?,
R5212-n,R5212,0,n
R5212-y,R5212,1,y
GB247-n,GB247,0,n
GB247-,GB247,?,
GB026-n,GB026,2,n
SD394-y,SD394,0,y
SD394-,SD394,?,
GB094-y,GB094,2,y
GB094-n,GB094,3,n
GB064-y,GB064,2,y
GB064-n,GB064,3,n
GB308-,GB308,?,
GB085-,GB085,?,
SD369-n,SD369,0,n
R1105-y,R1105,0,y
GB093-n,GB093,2,n
GB093-y,GB093,3,y
GB090-y,GB090,2,y
GB090-n,GB090,3,n
GB151-n,GB151,2,n
GB151-y,GB151,3,y
GB122-y,GB122,2,y
GB122-n,GB122,3,n
GB217-n,GB217,0,n
GB217-,GB217,?,
GB092-n,GB092,2,n
GB092-y,GB092,3,y
GB204-y,GB204,2,y
GB204-,GB204,?,
GB204-n,GB204,5,n
GB305-,GB305,?,
GB097-n,GB097,2,n
GB097-,GB097,?,
GB104-n,GB104,2,n
GB104-y,GB104,3,y
GB143-n,GB143,0,n
GB143-y,GB143,1,y
R5203-n,R5203,0,n
R5203-y,R5203,1,y
R2601-y,R2601,0,y
R2601-n,R2601,1,n
GB259-n,GB259,0,n
GB259-,GB259,?,
GB259-y,GB259,3,y
GB034-n,GB034,2,n
GB248-n,GB248,0,n
GB248-,GB248,?,
GB296-n,GB296,2,n
GB296-,GB296,?,
GB250-y,GB250,2,y
GB250-n,GB250,3,n
SD295-y,SD295,0,y
SD295-,SD295,?,
SD295-n,SD295,1,n
GB168-y,GB168,0,y
GB168-n,GB168,1,n
R5205-n,R5205,0,n
GB022-n,GB022,2,n
GB022-,GB022,?,
SD393-,SD393,?,
GB207-n,GB207,0,n
GB207-,GB207,?,
GB207-y,GB207,1,y
R1204-n,R1204,0,n
R1204-y,R1204,1,y
R5202-y,R5202,2,y
R5202-n,R5202,1,n
R2702-y,R2702,0,y
R2702-n,R2702,1,n
GB191-n,GB191,0,n
GB036-y,GB036,2,y
GB036-,GB036,?,
GB036-n,GB036,3,n
GB171-,GB171,?,
GB171-y,GB171,3,y
GB091-n,GB091,2,n
GB091-y,GB091,4,y
GB516-0,GB516,0,0
GB516-2,GB516,2,2
GB516-1,GB516,1,1
GB516-3,GB516,3,3
GB059-y,GB059,2,y
GB059-n,GB059,3,n
GB213-,GB213,?,
R1106-n,R1106,0,n
GB079-n,GB079,2,n
GB079-y,GB079,3,y
R3103-,R3103,?,
GB043-n,GB043,2,n
GB148-n,GB148,2,n
GB312-,GB312,?,
GB226-,GB226,?,
GB087-n,GB087,2,n
GB087-y,GB087,3,y
GB160-y,GB160,2,y
GB160-n,GB160,4,n
R1203a-n,R1203a,0,n
R1203a-y,R1203a,1,y
GB326-,GB326,?,
GB229-,GB229,?,
GB321-,GB321,?,
GB313-,GB313,?,
GB070-n,GB070,2,n
GB070-y,GB070,3,y
SD405-n,SD405,0,n
SD405-,SD405,?,
GB329-,GB329,?,
GB088-n,GB088,2,n
SD400-y,SD400,0,y
SD400-,SD400,?,
GB041-n,GB041,2,n
GB264-n,GB264,2,n
GB264-,GB264,?,
R2203-y,R2203,0,y
GB194-n,GB194,0,n
GB194-y,GB194,1,y
GB048-n,GB048,2,n
GB048-y,GB048,3,y
GB272-,GB272,?,
GB272-n,GB272,1,n
GB272-y,GB272,3,y
GB124-n,GB124,2,n
GB124-y,GB124,3,y
GB257-y,GB257,2,y
GB257-n,GB257,3,n
GB039-n,GB039,2,n
GB117-n,GB117,2,n
GB117-y,GB117,3,y
GB198-n,GB198,2,n
GB198-,GB198,?,
GB284-n,GB284,0,n
GB284-y,GB284,1,y
GB033-n,GB033,0,n
GB241-,GB241,?,
SD320-,SD320,?,
GB044-n,GB044,2,n
GB044-y,GB044,3,y
GB101-n,GB101,0,n
GB196-n,GB196,2,n
GB178-n,GB178,0,n
GB178-,GB178,?,
GB111-y,GB111,2,y
GB111-n,GB111,3,n
GB219-n,GB219,0,n
GB219-,GB219,?,
R4309c-n,R4309c,0,n
R4309c-y,R4309c,2,y
R4309c-,R4309c,?,
GB071-n,GB071,2,n
GB071-y,GB071,3,y
GB149-n,GB149,2,n
GB149-y,GB149,3,y
SD404-y,SD404,0,y
SD404-,SD404,?,
GB192-n,GB192,2,n
GB192-,GB192,?,
GB029-n,GB029,0,n
GB262-n,GB262,2,n
GB262-,GB262,?,
SD397-y,SD397,0,y
SD397-,SD397,?,
GB068-y,GB068,2,y
GB068-n,GB068,3,n
GB158-y,GB158,2,y
GB158-n,GB158,3,n
GB200-y,GB200,0,y
GB200-n,GB200,1,n
GB266-n,GB266,2,n
GB266-y,GB266,3,y
GB307-,GB307,?,
R4309b-y,R4309b,0,y
R4309b-n,R4309b,1,n
GB289-n,GB289,0,n
GB289-,GB289,?,
GB289-y,GB289,1,y
GB108-y,GB108,2,y
GB108-n,GB108,3,n
GB159-n,GB159,2,n
GB159-y,GB159,3,y
GB276-n,GB276,2,n
GB276-,GB276,?,
GB276-y,GB276,3,y
R1115-y,R1115,0,y
R1115-n,R1115,1,n
GB037-n,GB037,2,n
GB037-y,GB037,3,y
GB299-,GB299,?,
GB072-n,GB072,2,n
R3502-n,R3502,0,n
GB265-y,GB265,4,y
GB265-n,GB265,3,n
GB162-n,GB162,0,n
GB083-n,GB083,2,n
GB069-y,GB069,2,y
GB069-n,GB069,3,n
GB249-n,GB249,0,n
GB249-y,GB249,1,y
GB139-y,GB139,2,y
R1116-y,R1116,0,y
R1116-,R1116,?,
R1116-n,R1116,1,n
R1103b-n,R1103b,0,n
GB062-n,GB062,2,n
GB062-y,GB062,3,y
R4307-n,R4307,0,n
R4307-y,R4307,1,y
GB324-,GB324,?,
GB269-n,GB269,0,n
R4305a-y,R4305a,0,y
R4305a-n,R4305a,2,n
GB137-y,GB137,2,y
GB137-n,GB137,3,n
GB318-,GB318,?,
GB322-,GB322,?,
GB205-n,GB205,0,n
GB205-,GB205,?,
GB146-y,GB146,2,y
GB146-n,GB146,3,n
R5209-n,R5209,0,n
GB183-n,GB183,0,n
GB183-,GB183,?,
SD342-n,SD342,0,n
SD342-y,SD342,1,y
GB306-,GB306,?,
GB519-y,GB519,0,y
GB519-,GB519,?,
GB519-n,GB519,1,n
GB515-n,GB515,0,n
R1103a-n,R1103a,0,n
R1103a-y,R1103a,1,y
GB223-,GB223,?,
GB166-n,GB166,2,n
GB231-,GB231,?,
GB040-n,GB040,0,n
GB040-,GB040,?,
GB185-n,GB185,2,n
GB295-y,GB295,0,y
GB295-n,GB295,1,n
GB271-,GB271,?,
GB271-n,GB271,1,n
GB271-y,GB271,3,y
GB290-y,GB290,0,y
GB290-,GB290,?,
GB290-n,GB290,1,n
GB292-y,GB292,0,y
GB292-,GB292,?,
GB292-n,GB292,1,n
SD381-y,SD381,0,y
SD381-n,SD381,1,n
GB102-n,GB102,0,n
R5211-y,R5211,0,y
GB287-n,GB287,0,n
GB287-,GB287,?,
GB287-y,GB287,1,y?
R1109-y,R1109,0,y
R1109-n,R1109,1,n
GB078-n,GB078,0,n
GB078-,GB078,?,
GB078-y,GB078,1,y
GB047-n,GB047,2,n
GB047-y,GB047,3,y
GB156-n,GB156,2,n
SD343-y,SD343,0,y
SD343-,SD343,?,
SD343-n,SD343,1,n
GB235-,GB235,?,
GB113-n,GB113,2,n
GB113-y,GB113,3,y
GB081-n,GB081,2,n
GB081-y,GB081,3,y
GB228-,GB228,?,
GB291-n,GB291,2,n
GB291-,GB291,?,
R4308-n,R4308,0,n
R4308-y,R4308,1,y
R2508-y,R2508,0,y
R2508-,R2508,?,
R2508-n,R2508,1,n
SD403-y,SD403,0,y
SD403-,SD403,?,
GB230-,GB230,?,
R1103-2,R1103,2,2
R1103-3,R1103,3,3
GB273-n,GB273,2,n
GB273-y,GB273,4,y
GB046-y,GB046,2,y
GB046-n,GB046,3,n
R4309d-n,R4309d,0,n
R4309d-y,R4309d,2,y
R4309d-,R4309d,?,
GB066-n,GB066,0,n
GB066-y,GB066,1,y
GB508-n,GB508,0,n
GB508-,GB508,?,
GB227-,GB227,?,
GB142-y,GB142,2,y
GB142-n,GB142,3,n
GB224-,GB224,?,
R4308a-y,R4308a,0,y
R4308a-n,R4308a,1,n
SD389-y,SD389,0,y
SD389-,SD389,?,
GB141-y,GB141,2,y
GB141-n,GB141,3,n
GB325-,GB325,?,
GB150-y,GB150,2,y
GB150-n,GB150,3,n
GB261-n,GB261,0,n
GB261-y,GB261,1,y
GB119-y,GB119,2,y
GB119-n,GB119,3,n
GB333-y,GB333,2,y
GB310-,GB310,?,
GB100-n,GB100,0,n
GB100-y,GB100,1,y
GB297-,GB297,?,
R1109b-n,R1109b,0,n
GB206-n,GB206,0,n
GB206-,GB206,?,
GB253-y,GB253,2,y
GB253-n,GB253,3,n
GB336-n,GB336,2,n
GB154-y,GB154,0,y
GB154-n,GB154,1,n
GB021-n,GB021,2,n
GB021-,GB021,?,
GB153-n,GB153,0,n
GB153-y,GB153,2,y
GB303-,GB303,?,
GB144-n,GB144,0,n
GB144-y,GB144,1,y
GB311-,GB311,?,
GB236-,GB236,?,
SD402-y,SD402,0,y
SD402-,SD402,?,
SD402-n,SD402,1,n
GB199-n,GB199,0,n
GB199-,GB199,?,
GB080-y,GB080,2,y
GB080-n,GB080,3,n
GB301-,GB301,?,
GB279-n,GB279,2,n
GB279-,GB279,?,
GB086-y,GB086,2,y
GB086-n,GB086,3,n
SD396-y,SD396,0,y
SD396-,SD396,?,
GB316-,GB316,?,
GB135-y,GB135,2,y
GB135-,GB135,?,
GB135-n,GB135,3,n
R1108-n,R1108,0,n
R1108-y,R1108,1,y
GB050-y,GB050,0,y
GB050-n,GB050,1,n
GB014-n,GB014,0,n
GB014-,GB014,?,
GB014-y,GB014,1,y
SD399-y,SD399,0,y
SD399-,SD399,?,
GB277-n,GB277,0,n
GB277-y,GB277,1,y
GB123-y,GB123,2,y
GB123-n,GB123,3,n
GB057-n,GB057,2,n
GB057-y,GB057,3,y
GB035-y,GB035,2,y
GB035-n,GB035,3,n
GB073-n,GB073,2,n
GB110-n,GB110,2,n
GB319-,GB319,?,
GB045-n,GB045,0,n
GB045-,GB045,?,
GB045-y,GB045,1,y
GB188-n,GB188,2,n
GB129-n,GB129,2,n
GB133-y,GB133,2,y
GB133-n,GB133,3,n
GB061-y,GB061,2,y
GB061-n,GB061,3,n
R5210-y,R5210,0,y
R5210-n,R5210,1,n
R1110-n,R1110,0,n
R1110-y,R1110,1,y
GB053-y,GB053,2,y
GB053-,GB053,?,
GB028-y,GB028,2,y
GB275-n,GB275,2,n
GB275-,GB275,?,
GB275-y,GB275,3,y
R4309a-y,R4309a,0,y
R4309a-n,R4309a,1,n
GB107-n,GB107,2,n
GB302-,GB302,?,
GB510-y,GB510,0,y
GB323-,GB323,?,
GB258-y,GB258,0,y
GB258-,GB258,?,
GB270-n,GB270,4,n
GB270-y,GB270,3,y
GB245-n,GB245,0,n
GB245-,GB245,?,
GB246-n,GB246,0,n
GB246-,GB246,?,
GB031-n,GB031,2,n
GB031-y,GB031,3,y
GB208-,GB208,?,
GB234-,GB234,?,
GB209-,GB209,?,
GB285-n,GB285,2,n
GB285-y,GB285,3,y
GB263-y,GB263,2,y
GB263-,GB263,?,
R1118-y,R1118,0,y
R1118-n,R1118,1,n
GB155-n,GB155,2,n
GB155-y,GB155,3,y
GB118-y,GB118,2,y
GB330-,GB330,?,
R3605-n,R3605,0,n
R3605-y,R3605,2,y
GB251-y,GB251,0,y
GB251-n,GB251,1,n
GB294-n,GB294,0,n
GB328-,GB328,?,
GB280-y,GB280,0,y
GB280-,GB280,?,
GB280-n,GB280,1,n
GB126-y,GB126,2,y
GB126-n,GB126,3,n
GB077-n,GB077,2,n
GB077-,GB077,?,
GB077-y,GB077,3,y
GB032-n,GB032,2,n
GB032-y,GB032,3,y
GB105-y,GB105,2,y
GB105-n,GB105,3,n
GB074-n,GB074,2,n
GB074-y,GB074,4,y
GB179-n,GB179,0,n
GB179-,GB179,?,
GB173-n,GB173,0,n
GB173-,GB173,?,
GB244-n,GB244,0,n
GB244-,GB244,?,
SD398-y,SD398,0,y
SD398-,SD398,?,
GB165-n,GB165,2,n
SD388-y,SD388,0,y
SD388-,SD388,?,
SD388-n,SD388,1,n
GB309-,GB309,?,
GB520-y,GB520,0,y
GB520-n,GB520,1,n
GB038-n,GB038,2,n
GB172-n,GB172,2,n
GB172-,GB172,?,
GB286-n,GB286,2,n
GB054-,GB054,?,
GB106-n,GB106,2,n
GB106-y,GB106,3,y
GB260-n,GB260,2,n
GB145-y,GB145,0,y
GB145-n,GB145,1,n
SD395-n,SD395,0,n
SD395-,SD395,?,
GB163-2,GB163,2,2
GB163-,GB163,?,
GB132-n,GB132,2,n
GB132-y,GB132,3,y
GB327-,GB327,?,
GB170-n,GB170,2,n
GB170-,GB170,?,
GB136-y,GB136,2,y
GB240-,GB240,?,
GB211-,GB211,?,
GB042-n,GB042,2,n
GB254-y,GB254,2,y
GB254-n,GB254,3,n
GB049-n,GB049,2,n
GB049-y,GB049,3,y
R1109a-n,R1109a,0,n
GB514-n,GB514,0,n
GB514-y,GB514,1,y
GB195-n,GB195,0,n
GB195-,GB195,?,
GB283-,GB283,?,
GB283-y,GB283,1,y
GB176-n,GB176,0,n
GB176-,GB176,?,
GB121-n,GB121,2,n
GB121-y,GB121,3,y
GB177-y,GB177,2,y
GB177-n,GB177,3,n
GB067-1,GB067,1,1
GB065-3,GB065,3,3
GB052-,GB052,?,
GB052-n,GB052,3,n
GB317-,GB317,?,
GB274-y,GB274,2,y
GB274-n,GB274,1,n
R5207-n,R5207,0,n
R5207-y,R5207,1,y
GB334-,GB334,?,
GB120-y,GB120,2,y
GB120-n,GB120,3,n
GB288-n,GB288,0,n
GB288-,GB288,?,
GB255-n,GB255,2,n
GB125-n,GB125,2,n
GB125-y,GB125,3,y
SD341-y,SD341,0,y
SD341-n,SD341,1,n
R1107-y,R1107,0,y
R1117-y,R1117,0,y
R1117-n,R1117,1,n
GB127-y,GB127,2,y
GB127-y,GB127,4,y?
GB127-n,GB127,3,n
GB058-n,GB058,2,n
GB521-n,GB521,0,n
GB521-y,GB521,1,y
GB216-,GB216,?,
GB020-y,GB020,2,y
GB020-n,GB020,3,n
GB063-n,GB063,2,n
GB063-y,GB063,3,y
GB167-n,GB167,2,n
GB511-y,GB511,0,y
GB511-n,GB511,1,n
GB300-,GB300,?,
SD390-n,SD390,0,n
SD390-,SD390,?,
SD390-y,SD390,1,y
GB128-n,GB128,0,n
GB128-y,GB128,1,y
R2703b-n,R2703b,0,n
GB186-n,GB186,2,n
GB186-,GB186,?,
R2504a-y,R2504a,0,y
R2504a-,R2504a,?,
GB157-y,GB157,2,y
GB157-n,GB157,3,n
GB174-n,GB174,0,n
GB174-,GB174,?,
GB202-n,GB202,0,n
GB030-n,GB030,2,n
GB239-,GB239,?,
GB256-n,GB256,2,n
GB060-y,GB060,0,y
GB060-n,GB060,1,n
GB281-n,GB281,2,n
GB281-,GB281,?,
GB140-n,GB140,2,n
GB140-y,GB140,3,y
GB335-,GB335,?,
GB027-y,GB027,2,y
GB027-n,GB027,3,n
GB304-,GB304,?,
R5206-n,R5206,0,n
R5206-y,R5206,1,y
GB055-n,GB055,0,n
GB055-,GB055,?,
GB278-y,GB278,0,y
GB278-n,GB278,1,n
GB109-n,GB109,2,n
GB109-y,GB109,3,y
GB099-n,GB099,2,n
SD392-,SD392,?,
GB095-n,GB095,2,n
GB095-,GB095,?,
GB095-y,GB095,3,y
R1111-y,R1111,0,y
R1111-n,R1111,1,n
GB187-n,GB187,2,n
GB187-,GB187,?,
SD344-n,SD344,0,n
SD344-,SD344,?,
SD344-y,SD344,1,y
GB252-y,GB252,2,y
GB252-n,GB252,3,n
SD406-y,SD406,0,y
SD406-,SD406,?,
GB331-,GB331,?,
GB267-n,GB267,0,n
GB267-y,GB267,2,y
GB112-n,GB112,2,n
GB112-y,GB112,3,y
GB051-n,GB051,2,n
GB051-,GB051,?,
GB197-n,GB197,2,n
GB056-,GB056,?,
GB056-y,GB056,1,y
SD391-y,SD391,0,y
SD391-,SD391,?,
GB220-n,GB220,0,n
GB220-,GB220,?,
GB332-,GB332,?,
GB314-,GB314,?,
GB098-n,GB098,2,n
GB098-,GB098,?,
GB098-y,GB098,3,y
R1113a-y,R1113a,0,y
R1113a-n,R1113a,1,n
R1202-y,R1202,0,y
GB138-n,GB138,2,n
GB138-y,GB138,3,y
GB298-,GB298,?,
GB147-n,GB147,2,n
GB218-,GB218,?,
GB218-y,GB218,1,y
R1102-3,R1102,3,3
R1102-4,R1102,4,4
R1102-5,R1102,5,5
GB215-,GB215,?,
GB212-,GB212,?,
GB131-n,GB131,2,n
SD407-a,SD407,0,a
SD407-,SD407,?,
GB243-,GB243,?,
GB518-y,GB518,0,y
GB518-n,GB518,1,n
GB082-n,GB082,2,n
GB282-y,GB282,0,y
GB282-,GB282,?,
GB282-n,GB282,1,n
GB184-n,GB184,2,n
GB225-,GB225,?,
GB116-n,GB116,2,n
GB116-y,GB116,3,y
GB222-,GB222,?,
GB076-n,GB076,2,n
GB076-,GB076,?,
GB076-y,GB076,3,y
GB509-y,GB509,0,y
GB509-n,GB509,1,n
